0.8818,1.6415,-1.3691,0.1332,-0.9704,1.4398,-0.0449,-0.154,-1.1907,-0.8354,0.6551,-1.9446,-0.1088,-3.2853,-2.9462,-3.6568,0.8619,1.4169,-0.9047
1.0949,1.7852,-0.8822,-0.1031,-0.7785,1.6394,0.0491,0.0835,-0.661,-0.7506,0.9948,-1.307,0.4297,-3.3701,-2.6587,-3.3306,0.5612,0.9973,-0.6544
1.4725,1.98,-0.2674,-0.2115,-0.3673,1.7896,0.1356,0.4044,-0.1039,-0.5902,1.2935,-0.7675,0.9382,-3.3001,-2.3445,-2.9357,0.1256,0.4405,-0.5013
1.9024,2.2012,0.223,-0.2332,0.0998,1.9054,0.1065,0.7099,0.2606,-0.3209,1.4442,-0.5378,1.327,-3.073,-2.0626,-2.5551,-0.3573,-0.1081,-0.5043
2.3159,2.4021,0.4075,-0.1898,0.4492,2.0096,-0.1344,0.8816,0.3016,0.068,1.371,-0.6816,1.5212,-2.7043,-1.8379,-2.2372,-0.7696,-0.5041,-0.6564
2.7011,2.5309,0.2431,-0.0799,0.568,2.113,-0.6102,0.8264,0.0326,0.5468,1.0621,-1.0892,1.4843,-2.2393,-1.6673,-1.9934,-1.0089,-0.6628,-0.8865
3.0854,2.5561,-0.161,0.1026,0.4479,2.2061,-1.2328,0.5167,-0.3949,1.0449,0.5809,-1.5244,1.229,-1.755,-1.5365,-1.8086,-1.0324,-0.5917,-1.0894
3.4981,2.4888,-0.5902,0.3412,0.1831,2.2654,-1.8119,0.0066,-0.7575,1.4681,0.0508,-1.7241,0.8124,-1.3475,-1.4338,-1.6593,-0.8789,-0.3829,-1.1715
3.9353,2.3883,-0.8121,0.5808,-0.0779,2.2709,-2.1183,-0.5844,-0.8568,1.7272,-0.3841,-1.5101,0.3191,-1.1067,-1.357,-1.5316,-0.6551,-0.1679,-1.0911
4.3437,2.3452,-0.6706,0.7356,-0.2038,2.2243,-1.9808,-1.1122,-0.6071,1.7678,-0.6085,-0.8698,-0.1613,-1.0867,-1.3105,-1.4318,-0.489,-0.058,-0.8759
4.6354,2.4483,-0.1517,0.7221,-0.1414,2.1547,-1.3745,-1.4588,-0.0746,1.5878,-0.5778,0.028,-0.5555,-1.2855,-1.2985,-1.387,-0.4683,-0.0969,-0.6086
